artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,uri_count,rank_mean,lowest_rank,highest_rank,rank_median,streams_mean,streams_max,streams_min,streams_median,streams_sum,first_date,last_date
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.669,0.832,0.0,-5.72,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,237547.0,4.0,198.0,155.35353535353536,200.0,29.0,162.0,193091.99494949495,417329.0,141548.0,191140.5,38232215.0,2017-01-01,2018-02-05
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),0.803,0.585,8.0,-5.861,1.0,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,spotify:track:4tCtwWceOPWzenK2HAIJSb,214480.0,4.0,110.0,154.62727272727273,199.0,30.0,166.0,191794.70909090908,405483.0,151120.0,185992.0,21097418.0,2017-01-01,2017-06-28
Twenty One Pilots,Heathens,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920.0,4.0,209.0,126.9090909090909,200.0,25.0,136.0,240316.9043062201,424996.0,141865.0,219750.0,50226233.0,2017-01-01,2017-08-20
Lil Uzi Vert,You Was Right,0.843,0.359,0.0,-7.417,1.0,0.461,0.069,0.0,0.12,0.156,81.987,spotify:track:2ANLarE8yHVsLWW21nj79M,163944.0,4.0,281.0,106.83629893238434,199.0,26.0,103.0,264082.41637010674,491180.0,157256.0,258442.0,74207159.0,2017-01-01,2017-10-15
Ariana Grande,Into You,0.623,0.734,9.0,-5.95,1.0,0.107,0.0162,1.9e-06,0.145,0.372,107.853,spotify:track:2meEiZKWkiN28gITzFwQo5,244453.0,4.0,67.0,155.86567164179104,200.0,33.0,159.0,184318.0,370887.0,147578.0,178270.0,12349306.0,2017-01-01,2019-02-10
Drake,Too Good,0.793,0.653,7.0,-7.839,1.0,0.103,0.0484,4.91e-05,0.1,0.393,117.993,spotify:track:3BtuIIrQlkujKPuWF2B85z,263373.0,4.0,127.0,114.41732283464567,197.0,34.0,108.0,245386.6692913386,370419.0,151930.0,242632.0,31164107.0,2017-01-01,2017-06-25
Drake,Controlla,0.611,0.468,10.0,-11.084,0.0,0.179,0.0781,0.0,0.101,0.349,92.092,spotify:track:3O8NlPh2LByMU9lSRSHedm,245227.0,4.0,165.0,125.4060606060606,199.0,35.0,126.0,234175.82424242425,365140.0,149438.0,227075.0,38639011.0,2017-01-01,2017-07-02
Calvin Harris,This Is What You Came For (feat. Rihanna),0.63,0.928,9.0,-2.787,0.0,0.0331,0.199,0.124,0.148,0.465,123.963,spotify:track:0azC730Exh71aQlOt9Zj3y,222160.0,4.0,44.0,150.88636363636363,200.0,36.0,155.0,179460.27272727274,362959.0,141324.0,170488.5,7896252.0,2017-01-01,2017-02-26
James Arthur,Say You Won't Let Go,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,spotify:track:5uCax9HTNlzGybIStD3vDh,211467.0,4.0,766.0,120.06919060052219,200.0,14.0,117.0,299327.12924281985,653515.0,177979.0,255453.0,229284581.0,2017-01-01,2020-04-12
The Chainsmokers,All We Know (feat. Phoebe Ryan),0.662,0.586,0.0,-8.821,1.0,0.0307,0.097,0.00272,0.115,0.296,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,194080.0,4.0,84.0,111.97619047619048,200.0,28.0,123.5,259009.0119047619,467668.0,155724.0,223545.0,21756757.0,2017-01-01,2017-04-11
